cnpj;razao_social;nome_fantasia;cnae_principal;natureza_juridica;porte;situacao_cadastral;data_abertura;uf;cidade;bairro;cep;capital_social
11222333000101;Tech Solutions Brasil Ltda;TechSol BR;6202300;206-2;ME;Ativa;15/01/2020;SP;São Paulo;Itaim Bibi;04538000;250000.00
22333444000102;Comercial Oliveira & Filhos Ltda;Oliveira Comércio;4711301;206-2;ME;Ativa;22/03/2018;SP;Campinas;Centro;13015000;180000.00
33444555000103;Construtora Nova Era Eireli;Nova Era Construções;4120400;230-5;EPP;Ativa;10/06/2015;SP;Santos;Boqueirão;11010000;850000.00
44555666000104;Agropecuária Boi Gordo S/A;Boi Gordo Agro;0151201;205-4;GRANDE;Ativa;05/09/1995;MT;Cuiabá;Centro Sul;78020000;15000000.00
55666777000105;Doutor Saúde Serviços Médicos Ltda;Doutor Saúde;8630501;206-2;ME;Ativa;01/02/2021;RJ;Rio de Janeiro;Botafogo;22250040;300000.00
66777888000106;Padaria Pão Quente MEI;Pão Quente;4721102;203-8;MEI;Ativa;12/04/2022;RJ;Niterói;Centro;24020001;5000.00
77888999000107;Transportadora Carga Express Ltda;Carga Express;4930201;206-2;EPP;Ativa;03/08/2017;MG;Belo Horizonte;Lourdes;30180010;1200000.00
88999000000108;Escola Futuro do Saber Ltda;Futuro do Saber;8512100;206-2;ME;Ativa;18/11/2019;MG;Uberlândia;Santa Maria;38408384;200000.00
99000111000109;TechSoft Sistemas S/A;TechSoft;6202300;205-4;MEDIO;Ativa;14/06/2010;RS;Porto Alegre;Moinhos de Vento;90480100;8500000.00
00111222000110;Mecânica Auto Forte Ltda;Auto Forte;4520001;206-2;MEI;Ativa;09/09/2023;RS;Caxias do Sul;Centro;95010000;40000.00
11222333000111;Restaurante Sabor Caseiro Ltda;Sabor Caseiro;5611201;206-2;ME;Ativa;20/01/2022;BA;Salvador;Barra;40140010;120000.00
22333444000112;Loja Tech Eletrônicos Ltda;Tech Eletro;4751201;206-2;ME;Ativa;07/05/2021;BA;Feira de Santana;Centro;44001000;160000.00
33444555000113;Farmácia Popular do Brasil Ltda;Farmácia Popular;4771701;206-2;EPP;Ativa;11/03/2016;PE;Recife;Boa Viagem;51020010;950000.00
44555666000114;Indústria Têxtil Nordeste S/A;Têxtil Nordeste;1311101;205-4;GRANDE;Ativa;02/07/1990;PE;Caruaru;Petrópolis;55010000;20000000.00
55666777000115;Escritório Contábil Precisão Ltda;Contábil Precisão;6920601;206-2;MEI;Ativa;14/08/2022;CE;Fortaleza;Meireles;60150160;30000.00
66777888000116;Construtora Planalto Eireli;Planalto Construções;4120400;230-5;EPP;Ativa;19/12/2014;DF;Brasília;Asa Sul;70040010;2000000.00
77888999000117;Advocacia Oliveira Sociedade Simples;Oliveira Advocacia;6911701;204-6;ME;Ativa;05/04/2020;DF;Taguatinga;Taguatinga Centro;72010010;100000.00
88999000000118;Supermercado Preço Bom Ltda;Preço Bom;4711102;206-2;EPP;Ativa;22/10/2013;PR;Curitiba;Batel;80240020;2500000.00
99000111000119;Salão Beleza Pura MEI;Beleza Pura;9602501;203-8;MEI;Ativa;03/03/2023;PR;Londrina;Centro;86010020;10000.00
00111222000120;Hospotal Vida Saúde Ltda;Vida Saúde;8610101;206-2;MEDIO;Ativa;17/06/2005;SC;Florianópolis;Centro;88015000;5000000.00
11222333000121;Gráfica Rápida Ltda;Gráfica Rápida;1811301;206-2;ME;Ativa;30/09/2018;SC;Blumenau;Centro;89010010;180000.00
22333444000122;Oficina Mecânica do João MEI;Mecânica do João;4520001;203-8;MEI;Ativa;11/01/2024;ES;Vitória;Centro;29010010;8000.00
33444555000123;Corretora Seguros Proteção Ltda;Seguros Proteção;6629100;206-2;ME;Ativa;08/06/2021;ES;Vila Velha;Praia da Costa;29101010;220000.00
44555666000124;Indústria de Móveis Rio Ltda;Móveis Rio;3101200;206-2;EPP;Ativa;25/02/2010;RJ;Nova Iguaçu;Centro;26010000;1500000.00
55666777000125;Pastelaria do Centro MEI;Pastelaria Centro;5611202;203-8;MEI;Ativa;14/02/2023;SP;São Paulo;Sé;01001000;5000.00
66777888000126;Laboratório Análises Clínicas Saúde Ltda;Lab Saúde;8640202;206-2;ME;Ativa;03/11/2020;MG;Juiz de Fora;Centro;36010000;350000.00
77888999000127;Auto Peças Veloz Ltda;Veloz Auto Peças;4530703;206-2;ME;Ativa;19/07/2019;GO;Goiânia;Setor Oeste;74110010;190000.00
88999000000128;Hotel Praia Bela Ltda;Hotel Praia Bela;5510801;206-2;ME;Ativa;02/01/2017;BA;Porto Seguro;Centro;45810000;450000.00
99000111000129;Clínica Odontológica Sorriso Ltda;Sorriso Odonto;8630504;206-2;ME;Ativa;22/12/2021;RN;Natal;Ponta Negra;59020010;200000.00
00111222000130;Empreiteira Norte Forte Ltda;Norte Forte;4292801;206-2;EPP;Ativa;14/04/2011;PA;Belém;Nazaré;66035010;1800000.00
11222333000131;Mercadinho do Bairro Ltda;Mercadinho do Bairro;4712100;206-2;MEI;Ativa;05/05/2022;MA;São Luís;Calhau;65060010;25000.00
22333444000132;Distribuidora Bebidas Tropical Ltda;Bebidas Tropical;4635401;206-2;EPP;Ativa;30/08/2012;PE;Jaboatão dos Guararapes;Piedade;54410010;2800000.00
33444555000133;Academia Corpo Forte Ltda;Corpo Forte;9313100;206-2;ME;Ativa;16/01/2020;SP;Ribeirão Preto;Jardim Paulista;14020010;150000.00
44555666000134;Cabelereira da Vânia MEI;Cabelo da Vânia;9602502;203-8;MEI;Ativa;01/09/2023;RJ;Duque de Caxias;Centro;25010010;5000.00
55666777000135;Montadora de Veículos Brasil S/A;Montadora Brasil;2910701;205-4;GRANDE;Ativa;12/12/1985;SP;São Bernardo do Campo;Centro;09710010;50000000.00
66777888000136;Fábrica de Sorvetes Gelado Bom Ltda;Gelado Bom;1053800;206-2;ME;Ativa;20/06/2020;SP;Sorocaba;Centro;18010010;280000.00
77888999000137;E-commerce Digital Express Ltda;Digital Express;4790601;206-2;ME;Ativa;03/03/2021;MG;Belo Horizonte;Funcionários;30140030;320000.00
88999000000138;Bar e Lanchonete do Zé MEI;Zé Lanches;5611203;203-8;MEI;Ativa;18/10/2022;BA;Ilhéus;Centro;45650010;5000.00
99000111000139;Escritório Arquitetura Moderna Ltda;Arquitetura Moderna;7111100;206-2;ME;Ativa;07/07/2019;DF;Asa Norte;70070010;210000.00
00111222000140;Transporte Urbano Cidade Ltda;Transporte Cidade;4922101;206-2;EPP;Ativa;25/11/2015;SP;Guarulhos;Centro;07110010;1200000.00
11222333000141;Petshop Animal Feliz Ltda;Animal Feliz;4789002;206-2;MEI;Ativa;12/08/2022;PR;Maringá;Zona 1;87010010;15000.00
22333444000142;Borracharia Pneus Novos MEI;Borracharia Pneus;4530705;203-8;MEI;Ativa;08/04/2024;RS;Pelotas;Centro;96010010;5000.00
33444555000143;Indústria Plásticos Forte Ltda;Plásticos Forte;2229301;206-2;EPP;Ativa;14/09/2013;SC;Joinville;Centro;89201010;2500000.00
44555666000144;Agência de Turismo Viaje Bem Ltda;Viaje Bem;7911200;206-2;ME;Ativa;19/11/2018;RJ;Rio de Janeiro;Copacabana;22020030;180000.00
55666777000145;Posto Combustível Estrela Ltda;Posto Estrela;4681801;206-2;ME;Ativa;04/04/2017;MG;Contagem;Industrial;32210010;450000.00
66777888000146;Marmoraria Granito Nobre Ltda;Granito Nobre;2391501;206-2;ME;Ativa;27/08/2020;ES;Cariacica;Campo Grande;29140010;300000.00
77888999000147;Educação Infantil Primeiros Passos Ltda;Primeiros Passos;8512100;206-2;ME;Ativa;02/02/2021;PA;Ananindeua;Centro;67010010;120000.00
88999000000148;Loja de Roupas Fashion MEI;Fashion Modas;4781400;203-8;MEI;Ativa;10/06/2023;PE;Olinda;Centro;53010010;5000.00
99000111000149;Siderurgia Nacional S/A;Siderurgia Nacional;2412101;205-4;GRANDE;Ativa;20/01/1980;MG;Ipatinga;Centro;35160010;80000000.00
00111222000150;Distribuidora Medicamentos Saúde Ltda;Distribui Saúde;4644301;206-2;EPP;Ativa;03/12/2009;SP;Barueri;Tamboré;06460010;3500000.00
11222333000151;Serviço Limpeza ABC Ltda;ABC Limpeza;8121400;206-2;MEI;Ativa;15/01/2023;SP;Osasco;Centro;06010010;20000.00
22333444000152;Churrascaria Gaúcha Tradicional Ltda;Gaúcha Churrascaria;5611201;206-2;ME;Ativa;12/03/2018;RS;Santa Maria;Centro;97010010;350000.00
33444555000153;Livraria Saber Ltda;Livraria Saber;4761001;206-2;MEI;Ativa;18/10/2022;SP;São José dos Campos;Centro;12210010;25000.00
44555666000154;Funerária Paz Eterna Ltda;Paz Eterna;9603301;206-2;ME;Ativa;09/05/2019;PR;Foz do Iguaçu;Centro;85850010;200000.00
55666777000155;Fábrica de Móveis Planejados Ltda;Móveis Planejados;3101200;206-2;EPP;Ativa;01/07/2014;SC;Chapecó;Centro;89805010;1800000.00
66777888000156;Lava Rápido Automotivo Ltda;Lava Rápido;4520005;206-2;MEI;Ativa;22/08/2023;GO;Aparecida de Goiânia;Centro;74910010;10000.00
77888999000157;Imobiliária Casa Própria Ltda;Casa Própria Imóveis;6821801;206-2;ME;Ativa;04/12/2020;SP;Santos;Centro;11010010;280000.00
88999000000158;Farmácia de Manipulação Natural Ltda;Natural Farmácia;4771701;206-2;ME;Ativa;17/04/2021;MG;Poços de Caldas;Centro;37701010;200000.00
99000111000159;Transporte Escolar Seguro MEI;Transporte Escolar;4929901;203-8;MEI;Ativa;10/02/2024;RJ;Petrópolis;Centro;25610010;8000.00
00111222000160;Tecnologia em Nuvem CloudData S/A;CloudData;6202300;205-4;MEDIO;Ativa;13/06/2012;SP;Campinas;Distrito Industrial;13054000;12000000.00
11222333000161;Mercearia do Seu Manoel Ltda;Mercearia Manoel;4712100;206-2;MEI;Ativa;10/07/2022;BA;Vitória da Conquista;Centro;45010010;12000.00
22333444000162;Usina Açucareira Doce Rio Ltda;Doce Rio Açúcar;1071600;206-2;GRANDE;Ativa;08/03/1992;AL;Maceió;Centro;57010010;25000000.00
33444555000163;Oficina de Costura da Maria MEI;Costura da Maria;1412601;203-8;MEI;Ativa;01/11/2023;SP;Taubaté;Centro;12010010;5000.00
44555666000164;Buffet Eventos Festa Linda Ltda;Festa Linda;5620101;206-2;ME;Ativa;27/05/2021;RJ;Niterói;Icaraí;24210010;150000.00
55666777000165;Clinica Veterinária Animal Care Ltda;Animal Care;7500101;206-2;ME;Ativa;14/09/2022;SP;São Paulo;Vila Mariana;04018010;180000.00
66777888000166;Indústria Calçados Andar Bem S/A;Andar Bem Calçados;1533501;205-4;MEDIO;Ativa;05/02/2000;RS;Novo Hamburgo;Centro;93310010;7500000.00
77888999000167;Salão Festas Infantis Alegria Ltda;Alegria Festas;8230002;206-2;MEI;Ativa;19/12/2022;SC;Florianópolis;Trindade;88036000;20000.00
88999000000168;Assistência Técnica EletroTech Ltda;EletroTech Assistência;9511800;206-2;MEI;Ativa;02/04/2023;BA;Lauro de Freitas;Centro;42700010;15000.00
99000111000169;Fábrica de Chocolate Doce Sabor Ltda;Doce Sabor;1093701;206-2;ME;Ativa;11/06/2019;SP;Campinas;Cambuí;13024010;240000.00
00111222000170;Corpo de Bombeiros Voluntários;Voluntários;8423000;306-9;MEDIO;Ativa;03/10/1988;SC;Itajaí;Centro;88301010;3000000.00
11222333000171;Escritório Contabilidade Fácil Ltda;Contabilidade Fácil;6920601;206-2;ME;Ativa;22/08/2020;GO;Anápolis;Centro;75020010;85000.00
22333444000172;Oficina Conserto Celular Tec MEI;Tec Celular;9511801;203-8;MEI;Ativa;07/05/2023;MG;Betim;Centro;32600010;5000.00
33444555000173;Concessionária Veículos Nacional Ltda;Veículos Nacional;4511101;206-2;MEDIO;Ativa;14/01/1998;SP;São Paulo;Jardim Paulista;01452000;15000000.00
44555666000174;Pizzaria Italiana Tradicional Ltda;Pizza Italiana;5611202;206-2;ME;Ativa;15/09/2021;SP;Ribeirão Preto;Centro;14010010;130000.00
55666777000175;Agência Marketing Digital Cresce Ltda;Cresce Marketing;7319002;206-2;MEI;Ativa;01/03/2023;MG;Belo Horizonte;Savassi;30120010;30000.00
66777888000176;Fazenda Boa Esperança Agropecuária Ltda;Fazenda Boa Esperança;0151201;206-2;GRANDE;Ativa;20/04/1995;MT;Rondonópolis;Centro;78700010;25000000.00
77888999000177;Loja Material Construção Forte Ltda;Construção Forte;4744001;206-2;ME;Ativa;18/01/2020;PE;Paulista;Centro;53401010;220000.00
88999000000178;Despachante Documentos Rápido Ltda;Documentos Rápido;8211300;206-2;MEI;Ativa;09/11/2022;SP;Guarujá;Centro;11410010;8000.00
99000111000179;Sushibar Japão Gourmet Ltda;Japão Gourmet;5611202;206-2;ME;Ativa;25/07/2023;SP;São Paulo;Liberdade;01506000;95000.00
00111222000180;Companhia Energética Solar Brasil S/A;Solar Energia;3511501;205-4;GRANDE;Ativa;02/09/2003;BA;Juazeiro;Centro;48904000;45000000.00
11222333000181;Espaço Co-Working Trabalho Juntos Ltda;Trabalho Juntos;6821801;206-2;ME;Ativa;12/12/2021;RJ;Rio de Janeiro;Barra da Tijuca;22620010;320000.00
22333444000182;Revenda Gás Popular Ltda;Gás Popular;4784900;206-2;MEI;Ativa;04/04/2022;CE;Caucaia;Centro;61600010;15000.00
33444555000183;Indústria Bebidas Refrescante S/A;Refrescante Bebidas;1122401;205-4;GRANDE;Ativa;20/11/1987;PE;Jaboatão dos Guararapes;Centro;54310010;35000000.00
44555666000184;Centro Estética Beleza Leve Ltda;Beleza Leve;9602501;206-2;MEI;Ativa;16/02/2022;DF;Ceilândia;Centro;72210010;10000.00
55666777000185;Lojas Departamento Popular S/A;Popular Departamentos;4713000;205-4;GRANDE;Ativa;10/10/1992;SP;São Paulo;Centro;01001000;40000000.00
66777888000186;Serraria Madeiras Nobre Ltda;Madeiras Nobre;1610202;206-2;ME;Ativa;28/08/2017;PA;Santarém;Centro;68005010;350000.00
77888999000187;Agência Publicidade Criativa Ltda;Criativa Publicidade;7319001;206-2;ME;Ativa;06/01/2021;SP;São Paulo;Pinheiros;05424000;190000.00
88999000000188;Lava Rápido e Borracharia Express MEI;Express Lava;4520005;203-8;MEI;Ativa;01/07/2023;MG;Uberaba;Centro;38010010;5000.00
99000111000189;Hospital Regional Saúde Total Ltda;Saúde Total;8610101;206-2;MEDIO;Ativa;03/03/2006;PR;Londrina;Centro;86010010;6000000.00
00111222000190;Comércio Material Escolar Letras Ltda;Letras Escolar;4761001;206-2;ME;Ativa;05/12/2020;SP;Jundiaí;Centro;13201010;120000.00
11222333000191;Vidraçaria e Espelhos Brilhante Ltda;Vidraçaria Brilhante;2311701;206-2;MEI;Ativa;23/05/2022;RJ;Campos dos Goytacazes;Centro;28010010;20000.00
22333444000192;Logística Entrega Rápida S/A;Entrega Rápida;5240902;205-4;MEDIO;Ativa;18/07/2008;SP;Guarulhos;Centro;07110010;9500000.00
33444555000193;Doceria e Confeitaria Doce Arte Ltda;Doce Arte;1093701;206-2;MEI;Ativa;13/10/2023;RJ;Rio de Janeiro;Tijuca;20510010;8000.00
